|contract_id|validity|theme|title|text|clean_text|carimbo|semvalorlegal|carimbo|semvalorlegal
0|2016_082054|carimbo|Wages|Minimum Wage|- SALÁRIOS NORMATIVOS  Fica assegurado, para os empregados abrangidos por este acordo, um salário normativo, a partir de 01/09/16,  obedecidos aos critérios abaixo:  A) Para cada estabelecimento fabril na base territorial que contava, em 31 de agosto de 2015 com até 30 (trinta) empregados da categoria profissional, o Salário Normativo será de R$ 1.310,00 (um mil, trezentos e dez reais) por mês;  B) Para cada estabelecimento fabril da base territorial que contava, em 31 de agosto de 2015 com mais de 30 (trinta) empregados até 500 (quinhentos) empregados da categoria profissional, o Salário Normativo será de R$ 1.447,08 (um mil, quatrocentos e quarenta e sete reais e oito centavos) por mês;  C) Para cada estabelecimento fabril da base territorial que contava, em 31 de agosto de 2015 com mais de 500 (quinhentos) empregados da categoria profissional, o Salário Normativo será de R$ 1.659,05 (um mil, seiscentos e cinquenta e nove reais e cinco centavos) por mês.  Parágrafo Único: Estão excluídos desta garantia os menores aprendizes na forma da Lei.  |salários normativos ficar assegurar empregado abrangir acordo salário normativo obedecido critério abaixo estabelecimento fabril base territorial contar agosto trinto empregado categoria profissional salário normativo ser trezento real b estabelecimento fabril base territorial contar agosto trinto empregar quinhento empregado categoria profissional salário normativo ser quatrocento quarenta real centavo c estabelecimento fabril base territorial contar agosto quinhento empregado categoria profissional salário normativo ser seiscento cinquenta real centavo parágrafo único excluído garantia pequeno aprendiz lei|1|0|1|0
1|2016_082054|carimbo|Wages|Salary Adjustments / Corrections| Os salários dos empregados (as) serão corrigidos pelo percentual de 9,62% (nove vírgula sessenta e dois por cento), à ser aplicado da seguinte forma:  a) EM 01 DE SETEMBRO DE 2016, os salários vigentes em 31.08.2016, serão reajustados pelo percentual de 9,62% (nove vírgula, sessenta e dois por cento), observado o TETO salarial de R$ 8.345,32 (oito mil, trezentos e quarenta e cinco reais e trinta e dois centavos), à ser pago a partir de 01 de setembro de 2016.  b) Para o salário igual ou superior a R$ 8.345,32 (oito mil, trezentos e quarenta e cinco reais e trinta e dois centavos), o reajuste corresponderá ao valor fixo de R$ 802,82 (oitocentos e dois reais e oitenta e dois centavos), à ser incorporado e pago a partir de 01 de setembro de 2016.  c) Os valores do 13º salário e das férias individuais ou coletivas, se concedidas no período de 1º de setembro de 2016 a 31 de janeiro de 2017, terão por base o salário de 31 de agosto de 2016, acrescido de 9,62% (nove vírgula sessenta e dois por cento), e o pagamento dos títulos rescisórios inerentes as eventuais demissões ocorridas no mesmo período será efetivado com os mencionados títulos de direito corrigidos pelo percentual ajustado de 9,62% (nove vírgula sessenta e dois por cento). PARÁGRAFO 1º: As diferenças salariais decorrentes dos índices acordados, referente aos meses de setembro e outubro de 2016, poderão ser pagas juntamente com os salários do mês de novembro de 2016. O mesmo critério será utilizado para as diferenças referentes aos Salários Normativos e ao acréscimo do valor fixo para salários superiores ao teto salarial. |salário empregado ser corrigir percentual vírgular sessenta aplicar seguinte setembro salário vigente ser reajustar percentual vírgulo sessentar observar teto salarial trezento quarenta real trintar centavo pagar setembro b salário igual alto trezento quarenta real trintar centavo reajuste corresponder fixo oitocento real oitenta centavo incorporar pagar setembro c valor salário férias individual coletiva concedir período setembro janeiro ter base salário agosto acrescer vírgular sessenta pagamento título rescisório inerente eventual demissão ocorrir período ser efetivar mencionado título direito corrigir percentual ajustar vírgular sessenta parágrafo diferença salarial decorrente índice acordar referente setembro outubro poder paga juntamente salário novembro critério ser utilizar diferença referente salários normativos acréscimo fixo salário alto teto salarial|1|0|1|0
2|2016_082054|carimbo|Wages|Salary Adjustments / Corrections|COMPENSAÇÕES  Serão antes COMPENSADOS DA APLICAÇÃO DO REAJUSTE SALARIAL, todas as antecipações, espontâneas ou compulsórias, reajustes e aumentos decorrentes de Acordos Coletivos, legislação vigente ou sentenças normativas, concedidos no período de 01 de setembro de 2015 a 31 de agosto de 2016, aos trabalhadores abrangidos por este Acordo Coletivo de Trabalho, EXCETO os reajustes decorrentes de promoção, transferência, equiparação salarial, mérito, implemento de idade, término de aprendizagem, aumento real expressamente concedido a este título.  |compensações serão compensados aplicação reajuste salarial antecipação espontâneo compulsória reajuste aumento decorrente acordos coletivos legislação vigente sentença normativo concedir período setembro agosto trabalhador abrangir acordo coletivo trabalho exceto reajuste decorrente promoção transferência equiparação salarial mérito implemento idade término aprendizagem aumento real expressamente conceder título|1|0|1|0
3|2016_082054|carimbo|Wages|Salary Adjustments / Corrections|- ADMISSÃO APÓS DATA-BASE  O reajuste salarial dos empregados admitidos a partir de 1º.09.2015 até 31.08.2016, obedecerá os seguintes critérios, de acordo com o limite estabelecido:  a) Nos salários dos empregados admitidos em funções com paradigma, será aplicado o mesmo percentual ou valor fixo, referente ao aumento salarial concedido ao paradigma até o limite do menor salário da função; considerando-se também, como mês de serviço às frações superiores há 15 dias:  b) Os empregados admitidos a partir de 1º de setembro de 2015 e até 31 de agosto de 2016, que não têm paradigmas, terão o respectivo aumento salarial proporcional ao tempo de serviço, a razão de 1/12 (um doze avos), para fração igual ou superior a 15 (quinze) dias de trabalho;  Parágrafo Primeiro: Ficam excluídos da aplicação das tabelas supra os empregados admitidos a partir de 01/09/16.  Parágrafo Segundo: Serão antes COMPENSADOS DO AUMENTO SALARIAL todos os reajustes e aumentos, espontâneos ou compulsórios, concedidos desde a admissão. NÃO SERÃO DESCONTADOS os aumentos decorrentes de promoção, transferência, equiparação salarial, mérito, obtenção de maioridade, término de aprendizagem, aumento real expressamente concedido a este título.  |admissão reajuste salarial empregado admitir obedecer seguinte critério acordo limite estabelecer salário empregado admitir função paradigma ser aplicar percentual fixo referente aumento salarial concedir paradigma limite salário função serviço fração alto há dia b empregado admitir setembro agosto paradigma ter respectivo aumento salarial proporcional serviço razão avos fração igual alto dia trabalho parágrafo ficam excluír aplicação tabela supra empregado admitir parágrafo serão compensados aumento salarial reajuste aumento espontâneo compulsório concedir admissão serão descontados aumento decorrente promoção transferência equiparação salarial mérito obtenção maioridade término aprendizagem aumento real expressamente conceder título|1|0|1|0
4|2016_082054|carimbo|Wages|Salary Payment|- PAGAMENTO DE SALÁRIOS  A) A empresa deverá proporcionar aos empregados, nos dias de pagamento, tempo hábil para recebimento de salários ou vale, dentro da jornada normal de trabalho, independentemente destes pagamentos serem efetuados em moeda corrente, depósito bancário ou cheque-salário.  Não se aplica o disposto na letra “A” acima, caso a empresa forneça cartão bancário magnético aos seus empregados para movimentação da conta salário ou possui posto bancário nas dependências da empresa. |pagamento salários empresa proporcionar empregado dia pagamento hábil recebimento salário vale jornada normal trabalho independentemente de este pagamento ser efetuar moeda depósito bancário aplicar disposto letra acima caso empresa forneça cartão bancário magnético empregado movimentação conta salário possuir posto bancário dependência empresa|1|0|1|0
5|2016_082054|carimbo|Wages|Salary Payment|ADIANTAMENTO DE SALÁRIO - VALE  A empresa concederá aos seus empregados, um adiantamento mensal de salário, nas seguintes condições:  A) O adiantamento será de 40% (quarenta por cento) do salário nominal mensal, desde que o empregado já tenha trabalhado, na quinzena, o período correspondente;  B) O adiantamento deverá ser efetuado no dia 20 (vinte) de cada mês. Quando este dia coincidir com sábados, domingos ou feriados deverão ser pago no primeiro dia útil imediatamente anterior;  C) Este adiantamento deverá ser pago com base no salário vigente no próprio mês, desde que as eventuais correções sejam conhecidas com, no mínimo, 5 (cinco) dias de antecedência do pagamento;  D) O pagamento do adiantamento será devido, inclusive, nos meses em que ocorrer o pagamento das parcelas do 13º salário.  |adiantamento salário vale empresa conceder empregado adiantamento mensal salário seguinte condição adiantamento ser quarenta salário nominal mensal empregado ter trabalhar quinzena período correspondente b adiantamento efetuar dia dia coincidir sábado domingo feriado dever pagar dia útil imediatamente anterior c adiantamento pagar base salário vigente eventual correção ser conhecer pequeno dia antecedência pagamento d pagamento adiantamento ser devido ocorrer pagamento parcela salário|1|0|1|0
6|2016_082054|carimbo|Wages|Salary Payment|"- ATRASO DE PAGAMENTO  O pagamento mensal de salários será efetuado no dia 5(cinco) do mês subsequente ao trabalhado, exceção feita se esse dia coincidir com sábados, domingos e feriados, devendo, nesse caso ser pago no primeiro dia útil imediatamente anterior. A) O não pagamento dos salários no prazo determinado nesta cláusula acarretará multa diária revertida ao empregado, conforme abaixo:  Parágrafo Primeiro - 1% (um por cento) do menor Salário Normativo da categoria, vigente na época do evento, quando a obrigação for satisfeita independente de medida judicial, sendo então pagos concomitantemente o principal e a respectiva multa.  Parágrafo Segundo - 2% (dois por cento) do menor Salário Normativo da categoria, vigente na época do evento, quando a obrigação for satisfeita através de medida judicial;  B) O não pagamento do 13º Salário e da remuneração das férias nos prazos definidos em Lei implicará, também, na mesma multa conforme acima estipulado;  C) As multas previstas nos parágrafos 1º e 2º da letra ""A"" acima, não poderão ultrapassar a 2 (dois) salários nominais do empregado na época do efetivo pagamento.  "|atraso pagamento pagamento mensal salário ser efetuar dia subsequente trabalhado exceção fazer dia coincidir sábado domingo feriado dever caso pagar dia útil imediatamente anterior pagamento salário prazo determinar cláusula acarretar multa diário revertir empregado conforme abaixo parágrafo salário normativo categoria vigente época evento obrigação satisfazer independente medida judicial ser pagar concomitantemente principal respectivo multa parágrafo salário normativo categoria vigente época evento obrigação satisfazer medida judicial b pagamento salário remuneração féria prazo definir lei implicar mesmo multa conforme acima estipular c multa prever parágrafo letra acima poder ultrapassar salário nominal empregado época efetivo pagamento|1|0|1|0
7|2016_082054|carimbo|Wages|Salary Payment|COMPROVANTE DE PAGAMENTO  Serão fornecidos, obrigatoriamente, demonstrativos de pagamento, com a discriminação das horas trabalhadas, e de todos os títulos que componham a remuneração, importâncias pagas e descontos efetuados, contendo a identificação da empresa e o valor do recolhimento do FGTS.  |comprovante pagamento serão fornecir obrigatoriamente demonstrativo pagamento discriminação hora trabalhado título componhar remuneração importância pago desconto efetuar conter identificação empresa recolhimento fgts|1|0|1|0
8|2016_082054|carimbo|Wages|Salary Payment|ERRO NO PAGAMENTO/ADIANTAMENTO  Na ocorrência de erro na folha de pagamento e/ou adiantamento de salários, 13º salário e férias a empresa se obriga a efetuar a devida correção no prazo máximo de 3 (três) dias úteis a contar do conhecimento do fato.   |erro pagamento adiantamento ocorrência erro folha pagamento adiantamento salário salário férias empresa obrigar efetuar devida correção prazo dia útil contar conhecimento fato|1|0|1|0
9|2016_082054|carimbo|Equality / Fairness|Wage Fairness|"SALÁRIO SUBSTITUIÇÃO  A) A partir do 10º (décimo) dia de substituição que tenha caráter eventual, o empregado substituto passará a perceber o mesmo salário do substituído, excluídas as substituições dos cargos de Chefia, a menos que estas se prolonguem por período superior a 30 (trinta) dias;  B) Substituição superior a 60 (sessenta) dias consecutivos acarretará a efetivação na função, aplicando-se à hipótese, a cláusula 35 - ""PROMOÇÕES"";  C) Não se aplica a garantia da letra ""B"" acima, quando o substituído estiver sob amparo da Previdência Social.  D) Entretanto, se a substituição ultrapassar a 30 (trinta) dias, aplicar-se-á o disposto na letra ""A"" supra.  "|salário substituição décimo dia substituição ter caráter empregado substituto passar perceber salário substituir excluír substituição cargo chefia prolonguir período superior trinto dia b substituição superior sessenta dia consecutivo acarretar efetivação função hipótese cláusula promoções c aplicar garantia letra b acima substituir estar amparo previdência social d entretanto substituição ultrapassar trinto dia disposto letra supra|1|0|1|0
